,days,infected,susceptible,recovered,total
0,0.0,7.0,254.0,0.0,261.0
1,0.01,7.0042091,253.9894209,0.006370000000001319,261.0
2,0.02,7.00842029004737,253.97883587967164,0.012743830280994572,261.0
3,0.03,7.012633570621826,253.96824493663323,0.019121492744947233,261.0
4,0.04,7.016848942202432,253.95764806850335,0.02550298929422201,261.0
5,0.05,7.021066405267599,253.94704527290077,0.03188832183163459,261.0
6,0.06,7.025285960295087,253.9364365474445,0.038277492260426094,261.0
7,0.07,7.029507607762,253.9258218897537,0.04467050248429416,261.0
8,0.08,7.0337313481447845,253.91520129744785,0.05106735440736454,261.0
9,0.09,7.037957181919234,253.9045747681466,0.057468049934163545,261.0
10,0.1,7.0421851095604815,253.8939422994698,0.0638725909697051,261.0
11,0.11,7.046415131543002,253.8833038890376,0.07028097941940636,261.0
12,0.12,7.050647248340608,253.87265953447027,0.07669321718911881,261.0
13,0.13,7.054881460426453,253.86200923338845,0.08310930618509804,261.0
14,0.14,7.059117768273026,253.85135298341288,0.08952924831409348,261.0
15,0.15,7.063356172352153,253.84069078216461,0.09595304548323291,261.0
16,0.16,7.067596673134993,253.83002262726492,0.10238069960008289,261.0
17,0.17,7.07183927109204,253.8193485163353,0.10881221257264961,261.0
18,0.18,7.076083966693122,253.80866844699753,0.11524758630934873,261.0
19,0.19,7.080330760407394,253.79798241687357,0.12168682271903997,261.0
20,0.2,7.084579652703344,253.78729042358563,0.1281299237110245,261.0
21,0.21,7.08883064404879,253.77659246475622,0.13457689119498983,261.0
22,0.22,7.093083734910874,253.76588853800806,0.14102772708106937,261.0
23,0.23,7.097338925756067,253.7551786409641,0.14748243327984323,261.0
24,0.24,7.101596217050164,253.74446277124756,0.15394101170228058,261.0
25,0.25,7.105855609258286,253.73374092648191,0.1604034642598,261.0
26,0.26,7.110117102844873,253.7230131042909,0.16686979286421355,261.0
27,0.27,7.11438069827369,253.7122793022985,0.17333999942781197,261.0
28,0.28,7.118646396007822,253.70153951812893,0.17981408586325287,261.0
29,0.29,7.122914196509671,253.6907937494067,0.18629205408362015,261.0
30,0.3,7.12718410024096,253.6800419937566,0.1927739060024507,261.0
31,0.31,7.131456107662727,253.6692842488036,0.19925964353368109,261.0
32,0.32,7.135730219235325,253.65852051217303,0.20574926859164844,261.0
33,0.33,7.140006435418423,253.64775078149043,0.2122427830911473,261.0
34,0.34,7.144284756671002,253.63697505438162,0.21874018894737546,261.0
35,0.35000000000000003,7.148565183451356,253.6261933284727,0.2252414880759348,261.0
36,0.36,7.152847716217089,253.61540560139002,0.2317466823928882,261.0
37,0.37,7.157132355425114,253.60461187076024,0.23825577381464846,261.0
38,0.38,7.161419101531654,253.59381213421025,0.2447687642580929,261.0
39,0.39,7.165707954992237,253.58300638936728,0.251285655640479,261.0
40,0.4,7.169998916261698,253.57219463385877,0.2578064498795305,261.0
41,0.41000000000000003,7.174291985794177,253.5613768653125,0.26433114889332643,261.0
42,0.42,7.178587164043117,253.5505530813565,0.27085975460038547,261.0
43,0.43,7.1828844514612635,253.53972327961907,0.2773922689196686,261.0
44,0.44,7.187183848500663,253.52888745772884,0.2839286937704948,261.0
45,0.45,7.191485355612661,253.5180456133147,0.290469031072627,261.0
46,0.46,7.195788973247903,253.50719774400585,0.2970132827462466,261.0
47,0.47000000000000003,7.200094701856331,253.49634384743177,0.30356145071189466,261.0
48,0.48,7.204402541887183,253.48548392122223,0.31011353689059096,261.0
49,0.49,7.208712493788992,253.4746179630073,0.31666954320371765,261.0
50,0.5,7.213024558009586,253.46374597041734,0.3232294715730788,261.0
51,0.51,7.217338734996083,253.45286794108304,0.32979332392087457,261.0
52,0.52,7.221655025194894,253.44198387263538,0.3363611021697297,261.0
53,0.53,7.225973429051721,253.43109376270561,0.34293280824266414,261.0
54,0.54,7.2302939470115515,253.42019760892535,0.34950844406309933,261.0
55,0.55,7.234616579518663,253.40929540892645,0.356088011554883,261.0
56,0.56,7.2389413270166205,253.39838716034114,0.36267151264223507,261.0
57,0.5700000000000001,7.243268189948271,253.38747286080192,0.36925894924980796,261.0
58,0.58,7.247597168755747,253.3765525079416,0.37585032330265644,261.0
59,0.59,7.251928263880464,253.36562609939332,0.3824456367262119,261.0
60,0.6,7.256261475763118,253.35469363279054,0.38904489144633914,261.0
61,0.61,7.260596804843686,253.34375510576703,0.3956480893892831,261.0
62,0.62,7.264934251561424,253.33281051595688,0.40225523248169637,261.0
