,days,infected,susceptible,recovered,total
0,0.0,100.0,4900.0,0.0,5000.0
1,0.01,100.205,4899.755,0.04,5000.0
2,0.02,100.4104079748875,4899.509510025113,0.08008200000000001,5000.000000000001
3,0.03,100.61622468608678,4899.263529150724,0.12024616318995501,5000.000000000001
4,0.04,100.82245089623504,4899.017056450702,0.16049265306438973,5000.000000000001
5,0.05,101.02908736918346,4898.770090997395,0.20082163342288376,5000.000000000001
6,0.06,101.23613486999824,4898.522631861632,0.24123326837055714,5000.000000000001
7,0.07,101.44359416496168,4898.274678112721,0.2817277223185565,5000.000000000001
8,0.08,101.65146602157319,4898.026228818443,0.3223051599845411,5000.000000000001
9,0.09,101.8597512085503,4897.777283045058,0.3629657463931704,5000.000000000002
10,0.1,102.06845049582982,4897.527839857295,0.40370964687659056,5000.000000000001
11,0.11,102.2775646545687,4897.277898318357,0.4445370270749225,5000.000000000001
12,0.12,102.4870944571452,4897.027457489919,0.48544805293675,5000.0
13,0.13,102.69704067715985,4896.776516432121,0.526442890719608,5000.0
14,0.14,102.90740408943648,4896.525074203573,0.567521706990472,5000.0
15,0.15,103.11818547002328,4896.273129861351,0.6086846686262466,5000.000000000001
16,0.16,103.32938559619373,4896.020682460992,0.6499319428142559,5000.0
17,0.17,103.54100524644772,4895.7677310564995,0.6912636970527334,5000.0
18,0.18,103.7530452005125,4895.5142747003365,0.7326800991513125,5000.0
19,0.19,103.96550623934367,4895.260312443425,0.7741813172315175,5000.000000000001
20,0.2,104.1783891451262,4895.005843335147,0.8157675197272549,5000.0
21,0.21,104.39169470127547,4894.750866423339,0.8574388753853054,5000.0
22,0.22,104.6054236924382,4894.495380754296,0.8991955532658156,5000.0
23,0.23,104.81957690449346,4894.2393853727635,0.9410377227427908,5000.0
24,0.24,105.0341551245537,4893.982879321941,0.9829655535045883,5000.0
25,0.25,105.24915914096569,4893.725861643479,1.0249792155544097,4999.999999999999
26,0.26,105.46458974331149,4893.468331377477,1.067078879210796,4999.999999999998
27,0.27,105.68044772240947,4893.210287562481,1.1092647151081205,4999.999999999999
28,0.28,105.89673387031526,4892.951729235487,1.1515368941970843,4999.999999999999
29,0.29,106.1134489803227,4892.692655431931,1.1938955877452104,4999.999999999998
30,0.3,106.33059384696486,4892.433065185696,1.2363409673373396,4999.999999999998
31,0.31,106.54816926601494,4892.172957529107,1.2788732048761255,4999.999999999998
32,0.32,106.76617603448724,4891.912331492928,1.3214924725825314,4999.999999999998
33,0.33,106.98461495063817,4891.651186106364,1.3641989429963264,4999.999999999998
34,0.34,107.20348681396713,4891.389520397054,1.4069927889765816,4999.999999999998
35,0.35000000000000003,107.42279242521748,4891.1273333910785,1.4498741837021685,4999.999999999998
36,0.36,107.64253258637748,4890.864624112948,1.4928433006722555,4999.999999999998
37,0.37,107.86270810068125,4890.60139158561,1.5359003137068064,4999.999999999998
38,0.38,108.08331977260967,4890.337634830442,1.5790453969470788,4999.999999999998
39,0.39,108.30436840789133,4890.073352867251,1.6222787248561226,4999.999999999998
40,0.4,108.52585481350344,4889.808544714276,1.6656004722192792,4999.999999999998
41,0.41000000000000003,108.74777979767279,4889.543209388181,1.7090108141446805,4999.999999999998
42,0.42,108.9701441698766,4889.277345904058,1.7525099260637496,4999.999999999998
43,0.43,109.19294874084349,4889.010953275423,1.7960979837317002,4999.999999999998
44,0.44,109.41619432255436,4888.744030514216,1.8397751632280375,4999.999999999999
45,0.45,109.63988172824332,4888.476576630798,1.8835416409570591,4999.999999999999
46,0.46,109.86401177239857,4888.208590633952,1.9273975936483565,4999.999999999999
47,0.47000000000000003,110.08858527076329,4887.940071530878,1.971343198357316,4999.999999999999
48,0.48,110.31360304033653,4887.671018327197,2.0153786324656213,4999.999999999999
49,0.49,110.53906589937415,4887.401430026944,2.059504073681756,4999.999999999999
50,0.5,110.76497466738962,4887.131305632568,2.1037197000415055,4999.999999999999
51,0.51,110.99133016515496,4886.860644144936,2.1480256899084615,4999.999999999999
52,0.52,111.2181332147016,4886.589444563323,2.1924222219745237,4999.999999999999
53,0.53,111.44538463932122,4886.317705885417,2.236909475260404,4999.999999999999
54,0.54,111.67308526356665,4886.045427107316,2.281487629116133,4999.999999999998
55,0.55,111.90123591325273,4885.772607223525,2.3261568632215592,4999.999999999999
56,0.56,112.12983741545715,4885.499245226955,2.3709173575868605,5000.0
57,0.5700000000000001,112.35889059852128,4885.225340108925,2.415769292553043,4999.999999999999
58,0.58,112.58839629205109,4884.950890859155,2.460712848792452,4999.999999999998
59,0.59,112.8183553269179,4884.675896465771,2.5057482073092725,4999.999999999998
60,0.6,113.04876853525928,4884.400355915299,2.5508755494400397,4999.999999999998
61,0.61,113.27963675047988,4884.124268192664,2.596095056854143,4999.999999999998
62,0.62,113.51096080725222,4883.847632281192,2.641406911554335,4999.999999999999
63,0.63,113.74274154151755,4883.570447162604,2.686811295877236,4999.999999999999
64,0.64,113.97497979048664,4883.292711817018,2.732308392493843,4999.999999999999
65,0.65,114.20767639264064,4883.014425222948,2.7778983844100376,4999.999999999999
66,0.66,114.44083218773181,4882.7355863573,2.8235814549670937,4999.999999999999
67,0.67,114.67444801678441,4882.4561941953725,2.8693577878421865,4999.999999999999
68,0.68,114.90852472209544,4882.176247710855,2.9152275670489005,4999.999999999999
69,0.6900000000000001,115.14306314723545,4881.895745875826,2.9611909769377385,4999.999999999999
70,0.7000000000000001,115.37806413704936,4881.614687660753,3.0072482021966325,4999.999999999999
71,0.71,115.61352853765719,4881.33307203449,3.0533994278514522,4999.999999999998
