,days,infected,exposed,susceptible,recovered,total
0,0.0,100.0,0.0,4900.0,0.0,5000.0
1,0.01,99.93,0.24500000000000005,4899.755,0.07,5000.0
2,0.02,99.860539,0.4893262585750001,4899.510183741425,0.13995100000000002,5000.0
3,0.03,99.79161527521715,0.732981469950054,4899.265549877533,0.20985337730000003,4999.999999999999
4,0.04,99.7232271074644,0.975968318452406,4899.021097066091,0.27970750799265204,5000.0
5,0.05,99.65537278512608,1.2182894785489917,4898.776823969358,0.3495137669678771,5000.000000000001
6,0.06,99.58805060313358,1.4599476148837949,4898.532729254066,0.4192725279174654,5000.000000000001
7,0.07,99.52125886294115,1.7009453823150573,4898.288811591405,0.4889841633396589,5000.0
8,0.08,99.45499587250173,1.9412854259523455,4898.045069657002,0.5586490445437177,5000.000000000001
9,0.09,99.38925994624287,2.180970381193473,4897.801502130909,0.6282675416544689,4999.999999999999
10,0.1,99.32404940504289,2.42000287376128,4897.5581076975795,0.6978400236168388,5000.000000000001
11,0.11,99.25936257620688,2.6583855197402686,4897.314885045853,0.7673668582003689,5000.0
12,0.12,99.19519779344301,2.896120925613099,4897.071832868941,0.8368484120037137,5000.000000000001
13,0.13,99.13155339683883,3.133211688296939,4896.828949864406,0.9062850504591239,5000.000000000001
14,0.14,99.06842773283763,3.36966039517968,4896.586234734147,0.9756771378369111,5000.000000000001
15,0.15,99.005819154215,3.6054696241560045,4896.34368618438,1.0450250372498975,5000.000000000001
16,0.16,98.94372602005537,3.8406419436633192,4896.101302925625,1.114329110657848,5000.000000000002
17,0.17,98.88214669572865,4.075179912717547,4895.8590836726835,1.1835897188718867,5000.000000000002
18,0.18,98.82107955286708,4.309086080948781,4895.617027144627,1.2528072215588968,5000.000000000002
19,0.19,98.76052296934196,4.542362988636798,4895.375132064777,1.3219819772459038,5000.000000000002
20,0.2,98.7004753292407,4.775013166746438,4895.13339716069,1.3911143433244433,5000.000000000001
21,0.21,98.64093502284372,5.007039136962846,4894.89182116414,1.4602046760549117,5000.000000000002
22,0.22,98.58190044660165,5.238443411726571,4894.650402811103,1.5292533305709022,5000.000000000003
23,0.23,98.52337000311249,5.469228494268539,4894.409140841738,1.5982606608835233,5000.000000000002
24,0.24,98.46534210109884,5.699396878644885,4894.168034000373,1.667227019885702,5000.000000000003
25,0.25,98.40781515538536,5.9289510497716496,4893.927081035489,1.7361527593564712,5000.000000000003
26,0.26,98.35078758687614,6.157893483459344,4893.686280699702,1.805038229965241,5000.000000000004
27,0.27,98.29425782253224,6.386226646447379,4893.445631749747,1.8738837812760543,5000.000000000003
28,0.28,98.23822429534937,6.613952996438361,4893.205132946463,1.9426897617518268,5000.000000000003
29,0.29,98.1826854443355,6.84107498213226,4892.9647830547765,2.0114565187585716,5000.000000000003
30,0.3,98.12763971448874,7.067595043260434,4892.724580843684,2.0801843985696062,5000.000000000003
31,0.31,98.07308555677511,7.293515610619539,4892.484525086238,2.1488737463697483,5000.000000000003
32,0.32,98.01902142810661,7.518839106105291,4892.244614559531,2.217524906259491,5000.000000000003
33,0.33,97.96544579131914,7.743567942746105,4892.0048480446785,2.286138221259166,5000.000000000004
34,0.34,97.91235711515071,7.967704524736608,4891.765224326802,2.354714033313089,5000.000000000002
35,0.35000000000000003,97.85975387421958,8.191251247471016,4891.525742195018,2.4232526832936947,5000.000000000003
36,0.36,97.80763454900257,8.41421049757638,4891.286400442418,2.4917545110056483,5000.000000000003
37,0.37,97.75599762581342,8.636584652945718,4891.0471978660535,2.56021985518995,5000.000000000003
38,0.38,97.70484159678125,8.858376082770993,4890.808133266923,2.6286490535280196,5000.000000000003
39,0.39,97.65416495982905,9.079587147575998,4890.569205449952,2.6970424426457664,5000.000000000003
40,0.4,97.60396621865232,9.30022019924908,4890.330413223984,2.7654003581176467,5000.000000000003
41,0.41000000000000003,97.55424388269776,9.520277581075764,4890.091755401759,2.8337231344707035,5000.000000000003
42,0.42,97.50499646714202,9.739761627771228,4889.853230799901,2.902011105188592,5000.000000000003
43,0.43,97.45622249287057,9.95867466551268,4889.614838238905,2.9702646027155915,5000.000000000003
44,0.44,97.40792048645658,10.17701901197158,4889.376576543114,3.038483958460601,5000.000000000003
45,0.45,97.36008898014,10.394796976345765,4889.138444540717,3.1066695028011204,5000.000000000004
46,0.46,97.3127265118066,10.612010859391427,4888.900441063718,3.1748215650872185,5000.000000000003
47,0.47000000000000003,97.26583162496712,10.828662953454986,4888.662564947936,3.242940473645483,5000.000000000004
48,0.48,97.21940286873655,11.044755542504829,4888.424815032979,3.31102655578296,5000.000000000002
49,0.49,97.17343879781345,11.260290902162929,4888.187190162235,3.3790801377910755,5000.000000000002
50,0.5,97.1279379724593,11.475271299736345,4887.949689182858,3.447101544949545,5000.000000000003
51,0.51,97.08289895847805,11.6896989942486,4887.712310945746,3.5150911015302664,5000.000000000003
52,0.52,97.03832032719562,11.903576236470931,4887.475054305535,3.583049130801201,5000.000000000004
53,0.53,96.99420065543953,12.116905268953428,4887.23791812058,3.650975955030238,5000.000000000003
54,0.54,96.95053852551862,12.32968832605605,4887.000901252939,3.7188718954890456,5000.000000000004
55,0.55,96.90733252520288,12.541927633979522,4886.764002568363,3.7867372724569086,5000.000000000003
56,0.56,96.86458124770319,12.753625410796106,4886.527220936278,3.8545724052245505,5000.000000000003
57,0.5700000000000001,96.82228329165139,12.96478386648026,4886.2905552297725,3.9223776120979426,5000.000000000003
58,0.58,96.7804372610802,13.175405202939189,4886.0540043255805,3.9901532104020987,5000.000000000002
