,days,susceptible,infected,recovered,total
0,0.0,4900.0,100.0,0.0,5000.0
1,0.01,4899.755,100.145,0.1,5000.000000000001
2,0.02,4899.509657017763,100.2901979822375,0.20014500000000002,5000.0
3,0.03,4899.263970621004,100.43559418101437,0.3004351979822375,5000.000000000001
4,0.04,4899.017940377034,100.58118883080283,0.4008707921632519,5000.0
5,0.05,4898.771565852761,100.7269821662453,0.5014519809940547,5000.0
6,0.06,4898.524846614686,100.87297442215414,0.6021789631603001,5000.000000000001
7,0.07,4898.277782228906,101.01916583351141,0.7030519375824542,5000.0
8,0.08,4898.030372261115,101.16555663546869,0.8040711034159657,5000.0
9,0.09,4897.782616276601,101.31214706334683,0.9052366600514343,5000.0
10,0.1,4897.534513840249,101.45893735263574,1.0065488071147812,5000.0
11,0.11,4897.286064516538,101.60592773899415,1.108007744467417,5000.0
12,0.12,4897.037267869544,101.75311845824939,1.2096136722064113,5000.0
13,0.13,4896.788123462938,101.90050974639713,1.3113667906646607,4999.999999999999
14,0.14,4896.538630859987,102.04810183960123,1.4132673004110579,5000.0
15,0.15,4896.288789623555,102.1958949741934,1.5153154022506592,5000.0
16,0.16,4896.038599316102,102.34388938667304,1.6175112972248527,5000.0
17,0.17,4895.788059499681,102.49208531370701,1.7198551866115257,5000.0
18,0.18,4895.537169735945,102.64048299212934,1.8223472719252327,5000.0
19,0.19,4895.285929586142,102.78908265894101,1.924987754917362,5000.0
20,0.2,4895.034338611114,102.93788455130976,2.027776837576303,5000.000000000001
21,0.21,4894.782396371304,103.08688890656978,2.1307147221276126,5000.000000000001
22,0.22,4894.5301024267455,103.2360959622215,2.2338016110341825,5000.000000000001
23,0.23,4894.277456337073,103.38550595593134,2.337037706996404,5000.000000000001
24,0.24,4894.024457661517,103.53511912553147,2.4404232129523353,5000.000000000001
25,0.25,4893.771105958903,103.68493570901956,2.543958332077867,5000.0
26,0.26,4893.517400787655,103.83495594455854,2.6476432677868864,5000.000000000001
27,0.27,4893.263341705792,103.98518007047635,2.751478223731445,5000.0
28,0.28,4893.008928270932,104.13560832526564,2.8554634038019215,5000.0
29,0.29,4892.754160040289,104.2862409475836,2.959599012127187,5000.0
30,0.3,4892.4990365706735,104.43707817625163,3.063885253074771,5000.0
31,0.31,4892.243557418494,104.58812025025516,3.1683223312510225,5000.0
32,0.32,4891.9877221397555,104.73936740874332,3.2729104515012777,5000.0
33,0.33,4891.7315302900615,104.8908198910287,3.377649818910021,5000.0
34,0.34,4891.474981424612,105.04247793658713,3.4825406388010496,5000.0
35,0.35000000000000003,4891.218075098205,105.19434178505738,3.587583116737637,5000.0
36,0.36,4890.960810865236,105.34641167624088,3.6927774585226945,5000.0
37,0.37,4890.703188279699,105.49868785010152,3.7981238701989355,4999.999999999999
38,0.38,4890.445206895185,105.65117054676533,3.903622558049037,5000.0
39,0.39,4890.186866264883,105.80386000652021,4.009273728595803,4999.999999999999
40,0.4,4889.928165941581,105.9567564698157,4.115077588602323,4999.999999999999
41,0.41000000000000003,4889.669105477664,106.10986017726268,4.221034345072138,4999.999999999999
42,0.42,4889.409684425116,106.26317136963307,4.327144205249401,4999.999999999998
43,0.43,4889.14990233552,106.41669028785964,4.4334073766190345,4999.999999999999
44,0.44,4888.889758760056,106.57041717303565,4.5398240669068946,4999.999999999998
45,0.45,4888.629253249504,106.72435226641464,4.64639448407993,4999.999999999998
46,0.46,4888.368385354242,106.87849580941008,4.753118836346345,4999.999999999998
47,0.47000000000000003,4888.107154624247,107.03284804359514,4.859997332155755,4999.999999999999
48,0.48,4887.8455606090965,107.1874092107024,4.96703018019935,4999.999999999999
49,0.49,4887.583602857964,107.34217955262356,5.074217589410052,4999.999999999998
50,0.5,4887.321280919626,107.49715931140916,5.181559768962676,4999.999999999997
51,0.51,4887.058594342455,107.65234872926828,5.289056928274085,4999.999999999997
52,0.52,4886.795542674426,107.80774804856827,5.396709277003353,4999.999999999997
53,0.53,4886.532125463111,107.96335751183446,5.504517025051921,4999.999999999997
54,0.54,4886.268342255684,108.11917736174985,5.6124803825637555,4999.999999999998
55,0.55,4886.004192598917,108.27520784115482,5.720599559925505,4999.999999999997
56,0.56,4885.739676039184,108.43144919304687,5.82887476776666,4999.999999999998
57,0.5700000000000001,4885.474792122457,108.58790166058027,5.937306216959707,4999.999999999997
58,0.58,4885.209540394311,108.74456548706581,6.045894118620287,4999.999999999998
59,0.59,4884.94392039992,108.90144091597047,6.154638684107352,4999.999999999998
60,0.6,4884.6779316840575,109.05852819091713,6.263540125023323,4999.999999999998
61,0.61,4884.4115737911,109.21582755568427,6.37259865321424,4999.999999999998
62,0.62,4884.144846265022,109.37333925420566,6.481814480769924,4999.999999999997
63,0.63,4883.877748649404,109.53106353057007,6.59118782002413,4999.999999999998
64,0.64,4883.610280487423,109.68900062902092,6.7007188835547,4999.999999999998
65,0.65,4883.342441321858,109.84715079395605,6.810407884183721,4999.999999999997
66,0.66,4883.074230695093,110.00551426992729,6.920255034977677,4999.999999999998
67,0.67,4882.80564814911,110.16409130164028,7.030260549247604,4999.999999999998
68,0.68,4882.536693225495,110.32288213395408,7.140424640549244,4999.999999999998
69,0.6900000000000001,4882.267365465434,110.48188701188084,7.2507475226831986,4999.999999999997
70,0.7000000000000001,4881.997664409717,110.64110618058554,7.361229409695079,4999.999999999997
71,0.71,4881.727589598736,110.80053988538562,7.471870515875665,4999.999999999997
72,0.72,4881.4571405724855,110.96018837175069,7.58267105576105,4999.999999999997
73,0.73,4881.186316870562,111.12005188530222,7.693631244132801,4999.999999999997
74,0.74,4880.915118032166,111.28013067181315,7.804751296018103,4999.999999999997
75,0.75,4880.643543596099,111.44042497720767,7.916031426689916,4999.999999999997
76,0.76,4880.371593100769,111.60093504756077,8.027471851667123,4999.999999999997
77,0.77,4880.099266084184,111.761661129098,8.139072786714683,4999.999999999996
78,0.78,4879.8265620839575,111.92260346819513,8.250834447843781,4999.999999999996
79,0.79,4879.553480637307,112.08376231137778,8.362757051311975,4999.999999999996
80,0.8,4879.2800212810525,112.24513790532112,8.474840813623354,4999.999999999996
81,0.81,4879.006183551619,112.40673049684948,8.587085951528675,4999.999999999997
82,0.8200000000000001,4878.731966985036,112.5685403329361,8.699492682025523,4999.999999999997
83,0.8300000000000001,4878.457371116936,112.73056766070273,8.812061222358459,4999.999999999997
84,0.84,4878.182395482559,112.89281272741931,8.924791790019162,4999.999999999997
85,0.85,4877.907039616747,113.05527578050359,9.037684602746582,4999.999999999997
86,0.86,4877.6313030539495,113.21795706752086,9.150739878527085,4999.999999999997
87,0.87,4877.35518532822,113.38085683618351,9.263957835594606,4999.999999999998
88,0.88,4877.078685973216,113.54397533435079,9.37733869243079,4999.999999999997
89,0.89,4876.801804522204,113.70731281002836,9.49088266776514,4999.999999999997
90,0.9,4876.524540508055,113.87086951136799,9.604589980575168,4999.999999999998
91,0.91,4876.246893463244,114.0346456866672,9.718460850086537,4999.999999999998
92,0.92,4875.968862919856,114.19864158436893,9.832495495773204,4999.999999999998
93,0.93,4875.690448409579,114.36285745306112,9.946694137357573,4999.999999999998
94,0.9400000000000001,4875.411649463711,114.52729354147642,10.061056994810635,4999.999999999998
95,0.9500000000000001,4875.132465613154,114.69195009849179,10.17558428835211,4999.999999999997
96,0.96,4874.852896388419,114.85682737312811,10.290276238450602,4999.999999999998
97,0.97,4874.572941319624,115.02192561454993,10.40513306582373,4999.999999999998
98,0.98,4874.292599936494,115.18724507206495,10.520154991438279,4999.999999999997
99,0.99,4874.011871768364,115.35278599512381,10.635342236510343,4999.999999999997
100,1.0,4873.730756344173,115.51854863331958,10.750695022505468,4999.999999999997
