,days,infected,susceptible,recovered,total
0,0.0,100.0,4900.0,0.0,5000.0
1,0.01,100.0482,4899.9118,0.04,5000.0
2,0.02,100.09642164403478,4899.823559075965,0.08001928,5000.0
3,0.03,100.14466494026829,4899.7352772110735,0.1200578486576139,4999.999999999999
4,0.04,100.19292989686599,4899.6469543885,0.1601157146337212,4999.999999999999
5,0.05,100.24121652199493,4899.558590591412,0.2001928865924676,4999.999999999999
6,0.06,100.28952482382363,4899.470185802975,0.24028937320126556,5000.0
7,0.07,100.33785481052217,4899.381740006347,0.280405183130795,5000.0
8,0.08,100.38620649026218,4899.293253184683,0.32054032505500385,5000.0
9,0.09,100.43457987121677,4899.204725321132,0.36069480765110873,5000.0
10,0.1,100.48297496156061,4899.11615639884,0.40086863959959546,5000.000000000001
11,0.11,100.53139176946989,4899.0275464009455,0.4410618295842197,5000.0
12,0.12,100.5798303031223,4898.938895310585,0.48127438629200764,5000.0
13,0.13,100.62829057069709,4898.850203110889,0.5215063184132566,4999.999999999999
14,0.14,100.67677258037499,4898.761469784983,0.5617576346415354,4999.999999999999
15,0.15,100.72527634033827,4898.672695315988,0.6020283436736854,5000.0
16,0.16,100.77380185877071,4898.583879687019,0.6423184542098207,5000.0
17,0.17,100.82234914385762,4898.495022881189,0.6826279749533289,4999.999999999999
18,0.18,100.87091820378582,4898.406124881602,0.722956914610872,4999.999999999999
19,0.19,100.91950904674364,4898.317185671363,0.7633052818923863,5000.0
20,0.2,100.96812168092092,4898.228205233568,0.8036730855110839,5000.0
21,0.21,101.016756114509,4898.139183551307,0.8440603341834522,4999.999999999999
22,0.22,101.06541235570074,4898.05012060767,0.8844670366292557,4999.999999999999
23,0.23,101.11409041269052,4897.961016385738,0.9248932015715361,5000.0
24,0.24,101.16279029367419,4897.871870868589,0.9653388377366123,5000.0
25,0.25,101.21151200684916,4897.782684039296,1.005803953854082,5000.0
26,0.26,101.2602555604143,4897.693455880928,1.0462885586568216,4999.999999999999
27,0.27,101.30902096256996,4897.604186376549,1.0867926608809872,4999.999999999999
28,0.28,101.35780822151806,4897.514875509215,1.1273162692660152,4999.999999999999
29,0.29,101.40661734546195,4897.425523261983,1.1678593925546226,4999.999999999999
30,0.3,101.45544834260653,4897.3361296179,1.2084220394928074,4999.999999999999
31,0.31,101.50430122115816,4897.246694560012,1.24900421882985,5000.0
32,0.32,101.5531759893247,4897.1572180713565,1.2896059393183132,4999.999999999999
33,0.33,101.60207265531552,4897.0677001349695,1.330227209714043,4999.999999999999
34,0.34,101.65099122734148,4896.978140733881,1.3708680387761694,4999.999999999999
35,0.35000000000000003,101.6999317136149,4896.8885398511175,1.411528435267106,5000.0
36,0.36,101.74889412234963,4896.798897469697,1.452208407952552,5000.0
37,0.37,101.79787846176096,4896.709213572637,1.4929079656014919,4999.999999999999
38,0.38,101.8468847400657,4896.619488142947,1.5336271169861961,4999.999999999999
39,0.39,101.89591296548215,4896.529721163635,1.5743658708822224,5000.0
40,0.4,101.94496314623007,4896.439912617701,1.6151242360684153,5000.0
41,0.41000000000000003,101.99403529053069,4896.350062488143,1.6559022213269072,5000.0
42,0.42,102.04312940660675,4896.260170757951,1.6966998354431195,5000.0
43,0.43,102.09224550268246,4896.170237410112,1.7375170872057621,5000.0
44,0.44,102.1413835869835,4896.08026242761,1.778353985406835,5000.000000000001
45,0.45,102.19054366773702,4895.990245793422,1.8192105388416284,5000.000000000001
46,0.46,102.23972575317164,4895.900187490521,1.8600867563087233,5000.000000000002
47,0.47000000000000003,102.28892985151748,4895.810087501874,1.900982646609992,5000.000000000001
48,0.48,102.3381559710061,4895.719945810444,1.9418982185505989,5000.000000000001
49,0.49,102.38740411987055,4895.629762399191,1.9828334809390014,5000.000000000001
50,0.5,102.43667430634532,4895.539537251068,2.0237884425869495,5000.000000000001
51,0.51,102.4859665386664,4895.449270349025,2.0647631123094876,5000.000000000001
52,0.52,102.53528082507123,4895.358961676005,2.1057574989249543,5000.0
53,0.53,102.58461717379869,4895.268611214947,2.146771611254983,5000.0
54,0.54,102.63397559308916,4895.178218948787,2.1878054581245023,5000.000000000001
55,0.55,102.68335609118446,4895.087784860454,2.228859048361738,5000.0
56,0.56,102.73275867632786,4894.997308932874,2.269932390798212,5000.0
57,0.5700000000000001,102.78218335676411,4894.906791148967,2.311025494268743,5000.0
58,0.58,102.83163014073939,4894.816231491649,2.352138367611449,5000.0
59,0.59,102.88109903650135,4894.72562994383,2.3932710196677447,4999.999999999999
60,0.6,102.9305900522991,4894.634986488418,2.4344234592823453,5000.0
61,0.61,102.98010319638315,4894.5443011083125,2.475595695303265,4999.999999999999
62,0.62,103.02963847700553,4894.453573786412,2.516787736581818,4999.999999999999
63,0.63,103.07919590241968,4894.362804505607,2.5579995919726204,4999.999999999999
64,0.64,103.12877548088048,4894.271993248785,2.5992312703335885,5000.0
65,0.65,103.17837722064426,4894.181139998829,2.6404827805259408,5000.0
66,0.66,103.22800112996882,4894.090244738616,2.6817541314141984,4999.999999999999
67,0.67,103.27764721711335,4893.999307451019,2.723045331866186,4999.999999999999
68,0.68,103.32731549033853,4893.908328118908,2.7643563907530315,4999.999999999999
69,0.6900000000000001,103.37700595790646,4893.817306725144,2.8056873169491667,4999.999999999999
70,0.7000000000000001,103.42671862808066,4893.726243252587,2.8470381193323293,4999.999999999999
71,0.71,103.4764535091261,4893.63513768409,2.8884088067835614,5000.0
72,0.72,103.52621060930919,4893.543990002504,2.9297993881872118,5000.000000000001
73,0.73,103.57598993689776,4893.452800190672,2.9712098724309355,5000.000000000001
